AtomicNumber,Element,Symbol,AtomicWeight,Period,Group,StandardState,MostStableCrystal,Type,IonicRadius,AtomicRadius,Electronegativity,FirstIonizationPotential,OxidationStates,Density,MeltingPointKelvin,BoilingPointKelvin,Isotopes,Discoverer,YearOfDiscovery,SpecificHeatCapacity,ElectronConfiguration,DisplayRow,DisplayColumn,Facts
1,Hydrogen,H,1.00794,1,1,Gas,,Nonmetal,0.012,0.79,2.2,13.5984,"+1, -1",0.00008988,14.175,20.28,3,Henry Cavendish,1766,14.304,1s1,1,1,"Hydrogen is the lightest and most abundant element in the universe, making up about 75% of its elemental mass. It is a colorless, odorless gas that exists as H₂, a diatomic molecule. Hydrogen plays a crucial role in stars, where nuclear fusion reactions convert hydrogen into helium, releasing enormous amounts of energy. On Earth, hydrogen is primarily found in compounds like water (H₂O) and hydrocarbons. It is used in a wide range of industries, including fuel cells, and as a reducing agent in various chemical processes. Hydrogen is essential for life as a component of organic molecules, and it also holds potential as a clean energy source. Despite its abundance, hydrogen does not occur in its pure form naturally on Earth due to its lightness and tendency to combine with other elements."
2,Helium,He,4.002602,1,18,Gas,,Noble gas,,0.49,,24.5874,0,0.0001785,,4.22,5,"Norman Lockyer, Pierre Janssen",1868,5.193,1s2,1,18,"Helium is the second lightest element and is a colorless, odorless, non-reactive gas. It is most well-known for being used in balloons, but it is also crucial in many scientific and industrial applications, such as cryogenics, where it is used to cool superconducting magnets. Helium is the second most abundant element in the universe, but on Earth, it is relatively rare and is mostly extracted from natural gas fields. Helium is the product of the fusion of hydrogen atoms in stars and does not react with other elements due to its stable electron configuration. It has the lowest boiling point of any element, making it invaluable for applications requiring extremely low temperatures. Helium is non-toxic, non-flammable, and lighter than air, making it safer than hydrogen in applications like ballooning."
3,Lithium,Li,6.941,2,1,Solid,bcc,Alkali metal,0.76,2.1,0.98,5.3917,1,0.534,453.85,1615,5,Johan August Arfwedson,1817,3.582,[He]2s1,2,1,"Lithium is a soft, silvery-white alkali metal that is highly reactive, especially in water. It is the lightest metal and has a variety of important uses, particularly in rechargeable lithium-ion batteries, which power everything from smartphones to electric vehicles. Lithium is also used in medicine, particularly for the treatment of bipolar disorder, as it helps stabilize mood. The element is highly reactive and must be stored under oil to prevent it from reacting with moisture in the air. Lithium compounds are also used in the production of heat-resistant glass, ceramics, and lubricants. It is primarily obtained from lithium-rich minerals like spodumene and from salt lakes in regions like South America. Lithium is crucial to modern technology, especially in energy storage and electric transportation."
4,Beryllium,Be,9.012182,2,2,Solid,hex,Alkaline earth metal,0.35,1.4,1.57,9.3227,2,1.85,1560.15,2742,6,Louis Nicolas Vauquelin,1798,1.825,[He]2s2,2,2,"Beryllium is a hard, grayish metal that is lightweight and has a high melting point. It is primarily used in aerospace applications, where its strength and lightness are critical. Beryllium alloys are often used in aircraft, satellites, and missiles. The element is toxic and must be handled with care, as inhaling beryllium dust can cause chronic beryllium disease. Despite its toxicity, beryllium is valued in manufacturing for its ability to withstand extreme temperatures and its excellent electrical conductivity. It is used in nuclear reactors as a moderator and in X-ray windows due to its transparency to X-rays. Beryllium was first discovered in the 18th century, but its applications in high-tech industries have made it more prominent in the modern era."
5,Boron,B,10.811,2,13,Solid,rho,Metalloid,0.23,1.2,2.04,8.298,3,2.34,2573.15,4200,6,"Humphry Davy, Joseph Louis Gay-Lussac, Louis Jacques Thénard",1808,1.026,[He]2s2 2p1,2,13,"Boron is a metalloid that occurs naturally in compounds like borax. It is used in the production of glass and ceramics, where it improves the durability and resistance to thermal shock. Boron compounds are also important in agriculture, acting as micronutrients for plants. The element has several industrial applications, including as a dopant in semiconductors and as a neutron absorber in nuclear reactors. Boron is unique for its ability to form strong covalent bonds and has an important role in the creation of complex materials such as boron nitride, which is used as a lubricant and in heat-resistant products. Boron is also found in the human body, albeit in trace amounts, and is believed to play a role in bone health and cognitive function."
6,Carbon,C,12.0107,2,14,Solid,hex,Nonmetal,,0.91,2.55,11.2603,"+4, +2, -4",2.267,3948.15,4300,7,Prehistoric,,0.709,[He]2s2 2p2,2,14,"Carbon is a non-metal element that forms the backbone of all known life forms. It is found in various forms, including diamond, graphite, and graphene, each of which has unique properties. Carbon’s ability to form four covalent bonds makes it highly versatile in forming complex molecules like proteins, lipids, and carbohydrates. In the natural world, carbon exists as a part of carbon dioxide (CO₂), a greenhouse gas that plays a key role in regulating Earth’s climate. Carbon is also essential in the energy sector, particularly in fossil fuels like coal, oil, and natural gas. The carbon cycle, in which carbon is exchanged between the atmosphere, oceans, and living organisms, is a vital process for life on Earth. The element is used in a variety of applications, including in the manufacture of steel, and in modern technology such as carbon fiber."
7,Nitrogen,N,14.0067,2,15,Gas,,Nonmetal,0.13,0.75,3.04,14.5341,"+5, +4, +3, +2, +1, -1, -2, -3",0.0012506,63.29,77.36,8,Daniel Rutherford,1772,1.04,[He] 2s2 2p3,2,15,"Nitrogen is a colorless, odorless gas that makes up about 78% of Earth’s atmosphere. It is an inert gas under standard conditions and is essential for life, as it is a component of amino acids and nucleic acids, which are the building blocks of proteins and DNA. Nitrogen is used in the production of fertilizers, explosives (such as TNT), and as a coolant in its liquid form. It is also used in the preservation of food and in creating an inert atmosphere for chemical reactions. Nitrogen fixation, the process of converting atmospheric nitrogen into a usable form for plants, is carried out by bacteria and is vital for agriculture. While nitrogen gas is inert, nitrogen compounds like nitrous oxide and ammonia are highly reactive and have significant chemical and environmental impacts."
8,Oxygen,O,15.9994,2,16,Gas,,Nonmetal,1.4,0.65,3.44,13.6181,-2,0.001429,50.5,90.2,8,"Joseph Priestley, Carl Wilhelm Scheele",1774,0.918,[He]2s2 2p4,2,16,"Oxygen is a colorless, odorless gas that is essential for life on Earth, as it is used by most organisms for cellular respiration. It makes up about 21% of Earth's atmosphere and is the most abundant element in the Earth's crust, forming compounds like water and various minerals. Oxygen is highly reactive and readily forms oxides with most elements. It is used in a variety of industrial processes, including steel manufacturing, welding, and medical applications, where pure oxygen is supplied to patients with respiratory conditions. Oxygen is also involved in the formation of ozone (O₃) in the upper atmosphere, which protects the Earth from harmful ultraviolet radiation. The element plays a crucial role in combustion, respiration, and many other natural and industrial processes."
9,Fluorine,F,18.9984032,2,17,Gas,,Halogen,1.3,0.57,3.98,17.4228,-1,0.001696,53.63,85.03,6,Henri Moissan,1886,0.824,[He]2s2 2p5,2,17,"Fluorine is a pale yellow, highly reactive gas that is the most electronegative and reactive of all elements. It is found in compounds like sodium fluoride, which is used in toothpaste, and in Teflon, a non-stick coating. Fluorine is highly corrosive and must be handled with extreme care. It is used in the production of various chemicals, including pharmaceuticals and refrigerants, and in the enrichment of uranium for nuclear reactors. Fluorine is also present in nature in mineral deposits, such as fluorite. Its reactivity makes it an important element in chemistry, especially in forming compounds with nearly every other element. While essential for human health in small quantities (in preventing dental cavities), excessive exposure to fluorine can be harmful."
10,Neon,Ne,20.1797,2,18,Gas,,Noble gas,,0.51,,21.5645,0,0.0008999,24.703,27.07,8,"William Ramsay, Morris Travers",1898,1.03,[He]2s2 2p6,2,18,"Neon is a colorless, odorless, inert gas that glows brightly when an electric current passes through it, making it famous for its use in neon signs. It is one of the noble gases and is found in trace amounts in the Earth's atmosphere. Neon has no significant chemical reactivity due to its stable electron configuration, which makes it useful in applications requiring an inert atmosphere. It is also used in high-voltage indicators, vacuum tubes, and as a cryogenic refrigerant. Neon is extracted from the atmosphere through a process of fractional distillation, and despite being rare, it is highly valued in signage and lighting applications. Neon’s distinctive red-orange glow is caused by the excitation of neon atoms in a discharge tube."
